#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
38901,REINTEGRO DE ANUNCIOS A CARGO DE PARTICULARES,1000.0,,1000.0,4216.54
38902,REINTEGRO DE INDEMNIZACIONES DE PARTICULARES,7965.0,,7965.0,165129.68
38903,REINTEGROS OBRAS-INSTAL C/PARTICULARES,,,,47178.83
39100,MULTAS POR INFRACCIONES URBANÍSTICAS,1000.0,,1000.0,
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,8500000.0,,8500000.0,10616300.11
39190,OTRAS MULTAS Y SANCIONES,576780.0,,576780.0,641795.06
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIM. PREVIO,100.0,,100.0,
39210,RECARGO EJECUTIVO,360000.0,,360000.0,260510.35
39211,RECARGO DE APREMIO,2212933.0,,2212933.0,2281033.63
39300,INTERESES DE DEMORA,625000.0,,625000.0,866823.26
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS,240416.0,,240416.0,508576.03
39900,RECURSOS EVENTUALES,100000.0,,100000.0,54246.89
39901,OTROS INGRESOS DIVERSOS,152000.0,,152000.0,2538.35
39904,COSTAS JUDICIALES. RECAUDACIÓN EJECUTIVA,230000.0,,230000.0,2926.13
39906,OTROS INGR. DIVERSOS. FACTURAC. RAEE (RESID. APARAT ELECTR.),,,,
42000,PARTICIPACIÓN EN LOS TRIBUTOS DEL ESTADO.,,,,16999.99
42010,FONDO COMPLEMENTARIO DE FINANCIACIÓN,82454824.4,,82454824.4,90231677.76
42190,DE OTROS ORGANISMOS AUTÓNOMOS Y AGENCIAS.,,,,3600.0
45002,TRANSF. CTES. CUMPLIM. DE CONV. SOC. Y POLÍT. DE IGUALDAD,2482673.41,35567.73,2518241.14,1742313.25
45004,APLICACIÓN LEY 8/2007 ESTATUTO DE CAPITALIDAD,2365859.0,,2365859.0,2366081.0
45101,TRANSF. CTES. OO.AA. DE LA C.A. SERVICIO CANARIO DE EMPLEO,,,,
45503,FONDO CANARIO DE FINANCIACIÓN MUNICIPAL,27191267.24,,27191267.24,27301543.08
46100,TRANSFERENCIAS CORRIENTES DEL CABILDO DE GRAN CANARIA,369877.34,10276.69,380154.03,501424.5
48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO.,,78016.17,78016.17,78016.17
51100,INT. DE ANTICIPOS Y PTMOS CONCEDIDOS DE ORG. AUT. Y AGENCIAS,13433.99,,13433.99,14015.28
51400,"INT. DE ANT. DE SOC. MERC, ENT. PÚB, EMPR Y OTROS ORG. PÚBL.",31069.58,,31069.58,32413.96
52000,INTERESES BANCOS Y CAJAS DE AHORROS,400000.0,,400000.0,197725.19
53410,DE SOC Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES.,,,,546306.35
54100,ARRENDAMIENTO DE FINCAS URBANAS,308528.41,,308528.41,156521.71
55000,PRODUCTO DE CONCESIONES ADMTVAS. DE APARCAMIENTOS,24807.22,,24807.22,7022.23
55001,PRODUCTO DE CONCESIONES ADMTVAS. DE CEMENTERIOS,50000.0,,50000.0,86031.71
55002,PRODUCTO DE OTRAS CONCESIONES ADMINISTRATIVAS,540022.0,,540022.0,1088743.52
60000,ENAJENACIÓN DE SOLARES,1211011.62,,1211011.62,
60200,PARCELAS SOBRANTES DE LA VÍA PÚBLICA,,,,23316.16
60300,PATRIMONIO PÚBLICO DEL SUELO,,,,876586.63
61000,ENAJENACIÓN DE VIVIENDAS Y LOCALES DE NEGOCIO,176470.79,,176470.79,66217.15
72000,SUBVENCIONES EN CAPITAL DEL ESTADO,,803852.14,803852.14,3232927.55
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,,843354.81,843354.81,932665.54
76100,SUBVENCIONES DEL CABILDO INSULAR,8051656.35,477123.12,8528779.47,23241.53
76700,CONSORCIO DE VIVIENDAS DE GRAN CANARIA,,332360.73,332360.73,
78000,TRANSF. DE CAPITAL DE FAMILIAS E INST. SIN FINES DE LUCRO,,28412.71,28412.71,92822.11
82120,REINTEGRO DE PTMOS. CONCED. AL SECT. PUB. L.P. DE ENT. LOC.,393701.9,,393701.9,402183.41
83000,REINTEGRO PRÉSTAMOS A CORTO PLAZO (ANTICIPOS AL PERSONAL),,,,137005.89
83100,REINTEGRO PRÉSTAMOS A LARGO PLAZO (ANTICIPOS AL PERSONAL),290000.0,,290000.0,
87000,REMANENTE DE TESORERÍA PARA GASTOS GENERALES,,30394748.56,30394748.56,
87010,REMANENTE DE TESORERÍA PARA GASTOS CON FINANCIACIÓN AFECTADA,,797169.31,797169.31,
91300,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,,,,
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,,,,
#,,316086819.65,33800881.97,349887701.62,345479634.38
