#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
39904,COSTAS JUDICIALES. RECAUDACIÓN EJECUTIVA,332000.0,,332000.0,78877.02
39905,EXCESIVOS. RECAUDACIONES PDTES DE DEVOLUCIÓN Ó COMPENSACIÓN.,,,,42.29
42000,PARTICIPACIÓN EN LOS TRIBUTOS DEL ESTADO,,,,
42010,FONDO COMPLEMENTARIO DE FINANCIACIÓN,68490676.96,,68490676.96,83603344.46
42090,OTRAS TRANSF. CORRIENTES DE LA ADMÓN. GENERAL DEL ESTADO,56620.99,22757.56,79378.55,
42190,DE OTROS ORGANISMOS AUTÓNOMOS Y AGENCIAS.,,9116.0,9116.0,6381.2
42200,DE FUNDACIONES ESTATALES,,,,
45000,PARTICIPACIÓN EN LOS TRIBUTOS DE LA COMUNIDAD AUTÓNOMA,33760969.1,,33760969.1,33586512.98
45002,TRANSF. CTES. CUMPLIM. DE CONV. SOC. Y POLÍT. DE IGUALDAD,1750427.68,,1750427.68,170381.82
45004,APLICACIÓN LEY 8/2007 ESTATUTO DE CAPITALIDAD,2484828.0,,2484828.0,1863621.0
45060,OTRAS TRANSF. CTES. CUMPLIM. DE CONV. SUSCRITOS CON LA C.A.,27194.77,,27194.77,
45080,OTRAS SUBV. CTES. DE LA ADMÓN. GENERAL DE LA COM. AUTÓNOMA,,40000.0,40000.0,44950.17
45102,TRANSF. CTES. ORG. AUTÓNOMOS INST. CANANARIO DE LA VIVIENDA,,,,
45503,FONDO CANARIO DE FINANCIACIÓN MUNICIPAL,30009320.95,,30009320.95,26607599.34
46100,TRANSFERENCIAS CORRIENTES DEL CABILDO DE GRAN CANARIA,413717.48,77432.62,491150.1,440539.17
47001,DE EMPRESAS PRIVADAS. OTRAS,,30000.0,30000.0,30000.0
48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO.,,,,
49100,TRANSF. CTES. DEL FONDO DE DESARROLLO REGIONAL,,63750.0,63750.0,
52000,INTERESES EN BANCOS Y CAJAS DE AHORROS,600000.0,,600000.0,653192.23
53400,DE SOC Y ENTIDADES DEPENDIENTES DE LAS ENTIDADES LOCALES.,,,,
53410,SOC. Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES,1913223.31,,1913223.31,2170689.78
54100,ARRENDAMIENTO DE FINCAS URBANAS,271982.13,,271982.13,122866.72
55000,PRODUCTO DE CONCESIONES ADMTVAS. DE APARCAMIENTOS,28454.0,,28454.0,25767.32
55001,PRODUCTO DE CONCESIONES ADMINISTRATIVAS DE CEMENTERIOS,50000.0,,50000.0,
55002,PRODUCTO DE OTRAS CONCESIONES ADMINISTRATIVAS,938362.0,,938362.0,1607386.97
59900,OTROS INGRESOS PATRIMONIALES,1309.08,,1309.08,
59901,ENAJENAC MAT. RECICLABLE DESMANT. PLANTA DESALADORA L.P. II,500000.0,,500000.0,
60000,ENAJENACIÓN DE SOLARES,1016642.67,,1016642.67,
61000,ENAJENACIÓN DE VIVIENDAS Y LOCALES DE NEGOCIOS,1309109.47,,1309109.47,66478.03
72000,SUBVENCIONES EN CAPITAL DEL ESTADO,1138756.71,1058192.87,2196949.58,4022292.81
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,713659.57,,713659.57,
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMÓN GNRAL DE LA C.A.,,,,
76100,SUBVENCIONES DE CAPITAL DEL CABILDO INSULAR DE GRAN CANARIA,2785593.09,3557062.73,6342655.82,7913332.4
76700,CONSORCIO DE VIVIENDAS DE GRAN CANARIA,,15062.21,15062.21,198010.9
78000,TRANSF. DE CAPITAL DE FAMILIAS E INSTIT. SIN FINES DE LUCRO,88270.6,116930.92,205201.52,1050.0
82120,DE ENTIDADES LOCALES.,,,,
83100,REINTEGRO PRÉSTAMOS A LARGO PLAZO (ANTICIPOS AL PERSONAL),290000.0,,290000.0,286556.31
87000,REMANENTE DE TESORERÍA PARA GASTOS GENERALES,,17602384.59,17602384.59,
87010,REMANENTE DE TESORERÍA PARA GASTOS CON FINANCIACIÓN AFECTADA,,11472956.0,11472956.0,
91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,26403454.56,26403454.56,
91101,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO. FFPP,,390847.83,390847.83,46465392.6
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,,,,
#,,295964905.57,60895667.69,356860573.26,362236571.47
