#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0150C,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,,,,1043.25,
0150C,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,75398.36,2083.08,77481.44,107274.21,
0150C,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,650.0,,650.0,,
0150C,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,300.0,,300.0,93.45,
0150D,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,,,,
0150D,91200,48001,GRUPOS POLÍTICOS,38000.0,,38000.0,38000.0,
0150E,23100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,27.82,
0150E,23100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",475.0,,475.0,,
0150E,23100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,475.0,,475.0,920.4,
0150E,23100,22200,SERVICIOS DE TELECOMUNICACIONES,385.0,,385.0,,
0150E,23100,22201,COMUNICACIONES POSTALES,770.0,,770.0,,
0150E,23100,22203,COMUNICACIONES INFORMÁTICAS,385.0,,385.0,,
0150E,23100,22300,GASTOS DE TRANSPORTES,1425.0,,1425.0,,
0150E,23100,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,524.0,,524.0,,
0150E,23100,22699,OTROS GASTOS DIVERSOS,100.0,,100.0,62.73,
0150E,23100,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,1923.84,
0150E,23100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,694.0,,694.0,,
0150E,23100,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,1914.4,
0150E,23100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,640.0,,640.0,,
0150E,23100,48000,ATENCIONES BENÉFICAS Y ASISTENCIALES,4200.0,,4200.0,4200.0,
0150E,23100,48903,OTRAS TRANSFERENCIAS CONV. COORD. ONG DESARROLLO DE CANARIAS,8000.0,,8000.0,8000.0,
0150E,23100,48917,OTRAS TRANSFERENCIAS ''UNICEF'',6000.0,,6000.0,6000.0,
0150E,23100,48918,OTRAS TRANSFERENCIAS ''CENTRO LOGÍSTICO CRUZ ROJA'',10000.0,,10000.0,10000.0,
0150F,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,39925.8,,39925.8,39851.86,
0150F,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11507.76,,11507.76,13329.81,
0150F,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,43201.2,,43201.2,44545.24,
0150F,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,17032.68,,17032.68,17676.31,
0150F,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,44729.52,7100.0,51829.52,22407.73,
0150F,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,61431.12,,61431.12,63159.46,
0150F,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,124555.92,4000.0,128555.92,128465.43,
0150F,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,14793.84,,14793.84,15264.59,
0150F,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,42710.16,,42710.16,39371.91,
0150F,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,22775.64,,22775.64,22665.99,
0150F,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,50675.76,,50675.76,47505.19,
0150F,92000,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,33463.56,3300.0,36763.56,36679.06,
0150F,92000,15004,PRODUCTIVIDAD PERSONAL LABORAL,2852.52,,2852.52,2836.87,
0150F,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,153.49,
0150F,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,2179.02,
0150F,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",6000.0,,6000.0,3495.0,
0150F,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4000.0,,4000.0,3603.88,
0150F,92000,22201,COMUNICACIONES POSTALES,,,,9.22,
0150F,92000,22699,OTROS GASTOS DIVERSOS,200.0,,200.0,,
0150F,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,3090.31,,3090.31,3037.62,
0150F,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,800.0,,800.0,,
0150F,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,800.0,,800.0,21.85,
0150G,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,26617.2,-13000.0,13617.2,13308.6,
0150G,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,25920.72,-5000.0,20920.72,19440.54,
0150G,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,10272.72,,10272.72,8784.24,
0150G,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,27485.4,,27485.4,9994.79,
0150G,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,37462.44,-15000.0,22462.44,22284.33,
0150G,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,81214.32,-31000.0,50214.32,50056.86,
0150G,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,8278.56,,8278.56,5179.68,
0150G,92000,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,23544.0,,23544.0,21882.67,
0150G,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,73406.64,,73406.64,69004.07,
0150G,92000,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,21159.24,,21159.24,14590.56,
0150G,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,302.5,,302.5,474.55,
0150G,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",7671.25,-1400.0,6271.25,,
0150G,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1474.37,,1474.37,1740.25,
0150G,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,2300.0,,2300.0,,
0150G,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,150.0,,150.0,,
0150G,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,150.0,,150.0,,
0150H,91200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,61735.8,,61735.8,58001.77,
0150H,91200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,,,,,
0150H,91200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,,,,,
0150H,91200,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,,,,,
0150H,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,,,,,
0150H,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,,,,,
0150H,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,,,,,
0150H,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,,,,,
0150H,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,,,,,
0150H,91200,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,,,,,
0150H,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,39925.8,-20654.3,19271.5,18742.94,
0150H,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,34560.96,,34560.96,34464.96,
0150H,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,21900.24,,21900.24,17532.85,
0150H,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,37506.72,,37506.72,13477.1,
0150H,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,54812.04,-15853.58,38958.46,38846.63,
0150H,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,100036.8,-28000.0,72036.8,71139.13,
0150H,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,11724.24,,11724.24,8432.42,
0150H,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,21706.44,,21706.44,15013.97,
0150H,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,23398.32,,23398.32,17548.74,
0150H,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,209726.64,,209726.64,199705.84,
0150H,92000,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,27762.24,,27762.24,21072.24,
0150H,92000,15004,PRODUCTIVIDAD PERSONAL LABORAL,3899.76,,3899.76,3899.72,
0150H,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3000.0,,3000.0,2475.92,
0150H,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",4000.0,1644.04,5644.04,1733.46,
0150H,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3000.0,,3000.0,,
0150H,92000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",364000.0,54786.79,418786.79,415250.93,
0150H,92000,22699,OTROS GASTOS DIVERSOS,2000.0,,2000.0,,
0150H,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,2105.0,,2105.0,,
0150H,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1000.0,,1000.0,407.46,
0150H,92000,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,3000.0,,3000.0,,
0150H,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,3000.0,,3000.0,768.5,
0150I,93300,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,40850.88,,40850.88,35253.6,
0150I,93300,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,46074.12,,46074.12,45160.03,
0150I,93300,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,37009.08,,37009.08,26587.08,
0150I,93300,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,94932.84,-26000.0,68932.84,64467.27,
0150I,93300,15004,PRODUCTIVIDAD PERSONAL LABORAL,7679.04,,7679.04,7679.0,
0150I,93300,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,,,,3307.2,
0150I,93300,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,5000.0,,5000.0,704.24,
0150I,93300,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",800.0,,800.0,779.23,
0150I,93300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3800.0,,3800.0,4214.49,
0150I,93300,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,300000.0,,300000.0,297080.2,
0150I,93300,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",,,,2334.26,
0150I,93300,22699,OTROS GASTOS DIVERSOS,200000.0,-58000.0,142000.0,26946.21,
0150I,93300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,1000.0,,1000.0,,
0150I,93300,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,500.0,,500.0,,
0150I,93300,35200,INTERESES DE DEMORA,100000.0,-50000.0,50000.0,700.0,
0151A,21100,16105,PENSIONES A CARGO DE LA ENTIDAD LOCAL,151200.32,,151200.32,111822.31,
0151A,23000,16000,SEGURIDAD SOCIAL,19991649.72,,19991649.72,19909053.72,
0151A,91200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,61171.44,58348.92,119520.36,54832.24,
0151A,91200,16205,SEGUROS,10512.16,,10512.16,1379.95,
0151A,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,34523.28,,34523.28,27810.42,
0151A,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,138243.84,,138243.84,138099.84,
0151A,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,7191.0,,7191.0,6571.78,
0151A,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,42800.64,,42800.64,39359.24,
0151A,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,80715.0,,80715.0,39556.8,
0151A,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,109436.52,,109436.52,112150.45,
0151A,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,184428.24,-2735.76,181692.48,175783.54,
0151A,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,28385.76,,28385.76,27282.8,
0151A,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,56689.92,,56689.92,48196.41,
0151A,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,57418.44,,57418.44,57960.26,
0151A,92000,13101,SUSTITUCIONES,15000.0,,15000.0,12444.56,
0151A,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,300419.04,,300419.04,261185.05,
0151A,92000,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,53708.64,,53708.64,50941.36,
0151A,92000,15004,PRODUCTIVIDAD PERSONAL LABORAL,9569.76,,9569.76,9536.61,
0151A,92000,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,33000.0,-33000.0,,,
0151A,92000,16204,ACCIÓN SOCIAL,,40648.3,40648.3,40118.96,
0151A,92000,16205,SEGUROS,180352.3,15577.1,195929.4,141845.61,
0151A,92000,16208,COBERTURA PARA RIESGOS DE ACCIDENTES DE TRABAJO,71561.03,,71561.03,,
0151A,92000,20500,ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,4275.0,,4275.0,6782.75,
0151A,92000,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,300.0,,300.0,,
0151A,92000,21500,REPAR/MANTEN. MOBILIARIO,500.0,172.45,672.45,172.45,
0151A,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,100.0,,100.0,508.34,
0151A,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",2790.0,,2790.0,393.75,
0151A,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2090.0,,2090.0,2978.8,
0151A,92000,22202,COMUNICACIONES TELEGRÁFICAS,,,,57.4,
0151A,92000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",33109.63,96.98,33206.61,27250.57,
0151A,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",500.0,,500.0,,
0151A,92000,22607,OPOSICIONES Y PRUEBAS SELECTIVAS,18232.14,41575.0,59807.14,53879.42,
0151A,92000,22699,OTROS GASTOS DIVERSOS,765.0,,765.0,,
0151A,92000,22705,PROCESOS ELECTORALES,,2782.51,2782.51,2782.51,
0151A,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,22173.34,4784.47,26957.81,22007.81,
0151A,92000,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,500.0,,500.0,,
0151A,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,,,,283.68,
0151A,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,200.0,,200.0,,
0151A,92000,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,,
0151A,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,,,,201.98,
0151A,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,2565.0,,2565.0,452.65,
0151A,92000,83100,PRÉSTAMOS A LARGO PLAZO (ANTICIPOS AL PERSONAL),290000.0,,290000.0,286556.31,
0151A,92300,12007,PREVISIÓN PAGO DE SENTENCIAS JURISD. CONTENC.-ADMINISTRATIVO,100000.0,,100000.0,177066.81,
0151A,92300,13001,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,119512.96,-78926.48,40586.48,37311.11,
0151A,92300,13004,PREVISIÓN PAGO DE SENTENCIAS JURISD. LABORAL,300000.0,130000.0,430000.0,331295.97,
0151A,92300,13005,CLASIFICACIONES POR SENTENCIAS Y PAGO DE INTERESES,20000.0,,20000.0,27091.73,
0151A,92300,13009,MAYOR RETRIB. SECRETARÍA DIRECTORES DE GOBIERNO Y GENERALES,,,,,
0151A,92300,15100,GRATIFICACIONES,125000.0,333926.48,458926.48,456054.44,
0151A,92300,15101,GRATIFICACIONES PROCESOS ELECTORALES,,,,2179.57,
0151A,92300,16207,PREMIOS REGLAMENTO,410715.26,1116018.41,1526733.67,1718134.53,
0151B,31301,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,,,,2876.94,
0151B,31301,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8640.24,,8640.24,8640.24,
0151B,31301,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,2551.68,,2551.68,3177.54,
0151B,31301,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,3457.32,,3457.32,1728.66,
0151B,31301,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,4199.16,,4199.16,5728.68,
0151B,31301,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,6709.56,2735.76,9445.32,9445.32,
0151B,31301,12300,RESIDENCIA PERSONAL FUNCIONARIO,1387.2,,1387.2,1807.8,
0151B,31301,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,117252.6,,117252.6,97900.95,
0151B,31301,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,142427.88,,142427.88,137539.34,
0151B,31301,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,29868.0,,29868.0,28190.02,
0151B,31301,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,70275.36,,70275.36,57811.02,
0151B,31301,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,2049.36,,2049.36,2049.3,
0151B,31301,15004,PRODUCTIVIDAD PERSONAL LABORAL,23738.04,,23738.04,22020.26,
0151B,31301,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,62.06,
0151B,31301,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",600.0,,600.0,1933.62,
0151B,31301,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,214.43,
0151B,31301,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,600.0,,600.0,342.18,
0151B,31301,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,469.0,
0151B,31301,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,,74.56,
0151B,31301,22104,VESTUARIO,,,,1439.3,
0151B,31301,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO,538.42,,538.42,1686.5,
0151B,31301,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,,3723.97,
0151B,31301,22699,OTROS GASTOS DIVERSOS,,,,58.5,
0151B,31301,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,36423.08,-3518.22,32904.86,22505.64,
0151B,31301,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,300.0,,300.0,,
0151B,31301,62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",,173.71,173.71,173.71,
0151C,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,6654.3,,6654.3,,
