#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Créditos Extraordinarios,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0001D,92000,22201,COMUNICACIONES POSTALES,,,,32.58,
0001D,92000,22699,OTROS GASTOS DIVERSOS,600.0,,600.0,16.72,
0001D,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,2224.23,,2224.23,2095.93,
0001D,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,,,,26.67,
0001D,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,600.0,,600.0,,
0001D,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,,,,133.41,
0001D,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,600.0,,600.0,,
0101A,93100,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,62222.28,,62222.28,58299.7,
0101A,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13553.82,,13553.82,13441.8,
0101A,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8726.76,,8726.76,8726.76,
0101A,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,7643.16,,7643.16,7080.54,
0101A,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,12750.79,,12750.79,12691.1,
0101A,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,12762.32,,12762.32,12703.44,
0101A,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,27003.47,,27003.47,26915.92,
0101A,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,12957.6,,12957.6,12831.48,
0101A,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,3497.57,,3497.57,3480.24,
0101A,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,169518.93,,169518.93,176325.47,
0101A,93100,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,27085.08,,27085.08,26382.36,
0101A,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1000.0,,1000.0,,
0101A,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1000.0,,1000.0,196.0,
0101A,93100,22606,"REUNIONES, CONFERENCIAS Y CURSOS",5000.0,,5000.0,,
0101A,93100,22699,OTROS GASTOS DIVERSOS,12000.0,,7887.2,,
0101A,93100,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,20000.0,,20000.0,979.05,
0101A,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,5000.0,,7546.0,19046.0,
0101A,93100,23010,DIETAS DEL PERSONAL DIRECTIVO,,,1400.46,918.05,
0101A,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1500.0,,1500.0,351.0,
0101A,93100,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,,,1400.46,1176.99,
0101A,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1500.0,,1500.0,574.23,
0101A,93100,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,235000.0,,235000.0,,
0101A,93100,64100,GASTOS EN APLICACIONES INFORMÁTICAS,8000.0,17975.0,20628.08,20628.08,
0101B,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13889.86,,13889.86,13441.79,
0101B,93100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,23245.68,,23245.68,23245.68,
0101B,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,52360.56,,52360.56,51611.7,
0101B,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,22040.52,,22040.52,20978.36,
0101B,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,51341.79,,51341.79,50472.82,
0101B,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,54723.48,,54723.48,54201.1,
0101B,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,115972.6,,147773.38,115890.59,
0101B,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,168.6,,168.6,14.19,
0101B,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,13953.54,,13953.54,13764.0,
0101B,93100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,16255.93,,16255.93,15935.5,
0101B,93100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,14437.8,,14437.8,14437.8,
0101B,93100,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,9143.4,,9143.4,8973.12,
0101B,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,236190.44,,236190.44,231407.01,
0101B,93100,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,,,80.0,80.0,
0101B,93100,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,2043.97,,2043.97,835.92,
0101B,93100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,956.03,,956.03,,
0101B,93100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,683.68,
0101B,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,250.0,,250.0,21.21,
0101B,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3000.0,,3000.0,2582.84,
0101B,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3000.0,,3000.0,,
0101B,93100,22201,COMUNICACIONES POSTALES,100.0,,100.0,,
0101B,93100,22300,GASTOS DE TRANSPORTES,400.0,,400.0,,
0101B,93100,22699,OTROS GASTOS DIVERSOS,200.0,,200.0,,
0101B,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,18150.0,,18150.0,,
0101B,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1000.0,,920.0,18.7,
0101B,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,900.0,,900.0,108.39,
0101B,93100,64100,GASTOS EN APLICACIONES INFORMÁTICAS,36000.0,,36000.0,,
0101C,01100,31000,INTERESES PRÉSTAMOS DEL INTERIOR,608724.54,,608724.54,245580.61,
0101C,01100,91300,AMORTIZACION PRÉSTAMOS A L/P ENTES NO PÚBLICOS,11250615.3,,11250615.3,11173627.11,
0101C,01100,91301,AMORT DE PRÉST A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO.,,,,,
0101C,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13665.83,,13665.83,13441.8,
0101C,93100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11816.55,,11816.55,11622.84,
0101C,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,52360.56,,52360.56,53095.0,
0101C,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,25016.52,,25016.52,25085.48,
0101C,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,43761.42,,43761.42,45581.48,
0101C,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,42617.06,,42617.06,44354.93,
0101C,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,84567.3,,142368.08,90021.01,
0101C,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,9285.96,,9285.96,8132.49,
0101C,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,12248.01,,12248.01,12302.97,
0101C,93100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,32997.46,,32997.46,29358.6,
0101C,93100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,26921.04,,26921.04,23544.59,
0101C,93100,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,2572.56,,2572.56,1854.47,
0101C,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,341202.33,,330040.73,330031.25,
0101C,93100,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,3000.0,,3000.0,830.0,
0101C,93100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,3000.0,,3000.0,,
0101C,93100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,3076.98,
0101C,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,8000.0,,4400.0,506.64,
0101C,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3000.0,,3000.0,36948.85,
0101C,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1000.0,,1000.0,2496.24,
0101C,93100,22201,COMUNICACIONES POSTALES,500.0,,500.0,,
0101C,93100,22500,TRIBUTOS ESTATALES,,,,42.0,
0101C,93100,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",3000.0,,2000.0,,
0101C,93100,22699,OTROS GASTOS DIVERSOS,8000.0,,2000.0,,
0101C,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,100000.0,12273.41,112273.41,64904.27,
0101C,93100,23010,DIETAS DEL PERSONAL DIRECTIVO,1500.0,,1500.0,494.37,
0101C,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1500.0,,1500.0,,
0101C,93100,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,2000.0,,2000.0,311.8,
0101C,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,4500.0,,4500.0,3082.8,
0101C,93400,31100,GASTOS DE PRÉSTAMOS DEL INTERIOR,50000.0,,50000.0,,
0101C,93400,35200,INTERESES DE DEMORA,1000000.0,,867576.39,244233.0,
0101D,92900,50000,FONDO DE CONTINGENCIA DE EJECUCIÓN PRESUPUESTARIA,1700000.0,,,,
0101D,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13441.8,,13441.8,13441.8,
0101D,93100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,23245.68,,23245.68,23245.68,
0101D,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,,17453.52,17453.52,
0101D,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,19748.52,,19748.52,19967.99,
0101D,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,31447.13,,31447.13,33051.18,
0101D,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,29773.2,,29773.2,31689.98,
0101D,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,63523.2,,69523.2,69266.53,
0101D,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,16882.92,,8630.51,8630.51,
0101D,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,8279.76,,8279.76,8279.75,
0101D,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,75820.92,,75820.92,75714.53,
0101D,93100,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,,,80.0,,
0101D,93100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,450.0,,450.0,297.57,
0101D,93100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,1263.2,
0101D,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,4500.0,,4500.0,,
0101D,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",250.0,,250.0,,
0101D,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,900.0,,900.0,281.95,
0101D,93100,22201,COMUNICACIONES POSTALES,300.0,,300.0,,
0101D,93100,22500,TRIBUTOS ESTATALES,3000.0,,3000.0,2920.37,
0101D,93100,22699,OTROS GASTOS DIVERSOS,2000.0,,1920.0,,
0101D,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,12000.0,,,,
0101D,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,600.0,,600.0,18.7,
0101D,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1000.0,,1000.0,136.7,
0101E,93200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,61529.1,,26529.1,25970.69,
0101E,93200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,51414.89,,36166.06,36151.91,
0101E,93200,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,46588.22,,46588.22,55527.24,
0101E,93200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,209951.3,,194806.56,194709.97,
0101E,93200,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,36496.58,,16496.58,14520.0,
0101E,93200,12005,SUELDOS PERSONAL FUNCIONARIO GRUPO E,19942.56,,19942.56,19937.07,
0101E,93200,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,106063.56,,99530.32,99523.62,
0101E,93200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,206976.07,,193539.4,191147.87,
0101E,93200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,207548.77,,187842.45,186954.41,
0101E,93200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,414552.0,,390552.0,379086.28,
0101E,93200,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,74462.4,,62076.72,62000.15,
0101E,93200,12300,RESIDENCIA PERSONAL FUNCIONARIO,57334.88,,51298.32,50415.48,
0101E,93200,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,180139.03,,180139.03,180193.6,
0101E,93200,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,155372.88,,155372.88,153658.99,
0101E,93200,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,14436.6,,14436.6,12796.68,
0101E,93200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,88441.87,,88441.87,88633.97,
0101E,93200,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,2447770.03,,2447770.03,2443646.9,
0101E,93200,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,178089.12,,153975.76,153952.22,
0101E,93200,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,,,630.0,630.0,
0101E,93200,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,16889.76,,6889.76,5254.61,
0101E,93200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,4000.0,,4000.0,301.75,
0101E,93200,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,1600.0,,1600.0,366.9,
0101E,93200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,5000.0,,5000.0,1426.67,
0101E,93200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1500.0,,1500.0,,
0101E,93200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,10000.0,,10000.0,8418.23,
0101E,93200,22201,COMUNICACIONES POSTALES,1350000.0,,1340925.0,1138786.98,
0101E,93200,22500,TRIBUTOS ESTATALES,,,,84.7,
0101E,93200,22602,PUBLICIDAD Y PROPAGANDA,10000.0,,10000.0,10865.52,
0101E,93200,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",7500.0,,7500.0,19168.33,
0101E,93200,22699,OTROS GASTOS DIVERSOS,10000.0,,9370.0,,
0101E,93200,22708,SERVICIOS DE RECAUDACIÓN A FAVOR DE LA ENTIDAD,342232.4,,702232.4,506462.73,
0101E,93200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,254650.0,,254650.0,107495.7,
0101E,93200,23010,DIETAS DEL PERSONAL DIRECTIVO,350.0,,350.0,,
0101E,93200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,350.0,,350.0,328.81,
0101E,93200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,400.0,,400.0,,
0101E,93200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,5000.0,,5000.0,1486.82,
0101F,93100,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,128566.21,,128566.21,149711.2,
0101F,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,10081.35,,,,
0101F,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,3550.05,,3550.05,,
0101F,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,4634.46,,4634.46,,
0101F,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,10444.68,,,,
0101F,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,1559.34,,1559.34,,
0101F,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,47699.9,,47699.9,49488.33,
0101F,93100,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,7004.88,,7004.88,4517.76,
0101F,93100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,1500.0,,1500.0,,
0101F,93100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,48.15,
0101F,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1500.0,,1500.0,,
0101F,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1500.0,,1500.0,365.39,
0101F,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1500.0,,1500.0,3160.96,
0101F,93100,22201,COMUNICACIONES POSTALES,300.0,,300.0,,
0101F,93100,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",400.0,,400.0,,
0101F,93100,22606,"REUNIONES, CONFERENCIAS Y CURSOS",500.0,,500.0,,
0101F,93100,22699,OTROS GASTOS DIVERSOS,1200.0,,1200.0,,
0101F,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1800.0,,1800.0,281.54,
0101F,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1800.0,,1800.0,513.55,
0101G,13200,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,,1214.48,,
0101G,13200,62500,MOBILIARIO,5000.0,,36093.21,4557.41,
0101G,13600,62500,MOBILIARIO,18000.0,,18000.0,14199.32,
0101G,15101,62500,MOBILIARIO,,,1500.0,,
0101G,15102,62500,MOBILIARIO,,,399.26,,
0101G,16000,62500,MOBILIARIO,,,572.53,,
0101G,16210,62500,MOBILIARIO,,,12000.0,,
0101G,16500,62500,MOBILIARIO,,,825.0,,
0101G,17000,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,,7318.8,7318.8,
0101G,17000,62500,MOBILIARIO,,,2782.0,2782.0,
0101G,17200,62500,MOBILIARIO,,,2326.23,,
0101G,23100,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,,5800.0,,
0101G,23100,62500,MOBILIARIO,,,41357.0,3754.41,
0101G,43120,62500,MOBILIARIO,,,748.45,358.45,
0101G,91200,62500,MOBILIARIO,,,3719.2,556.2,
0101G,92000,62500,MOBILIARIO,600.0,,10333.44,1268.75,
0101G,92310,62500,MOBILIARIO,20000.0,,20000.0,,
0101G,92400,62500,MOBILIARIO,,,25125.62,14889.27,
0101G,92500,62500,MOBILIARIO,,4156.46,6028.54,6028.54,
0101G,93200,62500,MOBILIARIO,,,9075.0,,
0101G,93300,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,112.02,,112.02,,
0101G,93300,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8799.48,,8799.48,8719.55,
0101G,93300,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,10955.03,,,,
0101G,93300,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,2564.16,,2564.16,2562.48,
0101G,93300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,9174.25,,9174.25,4996.56,
0101G,93300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,10480.36,,10480.36,4310.97,
0101G,93300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,18376.94,,10008.92,10008.92,
0101G,93300,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,3103.08,,3103.08,2875.02,
0101G,93300,12300,RESIDENCIA PERSONAL FUNCIONARIO,3171.89,,3171.89,1399.96,
0101G,93300,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,29410.55,,29410.55,28310.43,
0101G,93300,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,29565.49,,29565.49,29669.16,
0101G,93300,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,1965.24,,1965.24,903.47,
