#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales,Transf. De Drchos. Rec. Negativos
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,,,,867.48,0
39900,RECURSOS EVENTUALES,100000.0,,100000.0,147749.44,0
39901,OTROS INGRESOS DIVERSOS,,,,53667.87,0
39904,COSTAS JUDICIALES. RECAUDACIÓN EJECUTIVA.,230000.0,,230000.0,2512.54,0
42010,FONDO COMPLEMENTARIO DE FINANCIACIÓN.,91295419.44,,91295419.44,93047292.75,0
45002,TRANSF. CTES. CUMPLIM. DE CONV. SOC. Y POLÍT. DE IGUALDAD,2481606.31,,2481606.31,613534.4,0
45004,APLICACIÓN LEY 8/2007 ESTATUTO DE CAPITALIDAD,2482256.0,,2482256.0,2482256.0,0
45104,TRANSF. CTES. OOAA DE LA C.A. INST. CANARIO ADM. PUBLICA,,26545.0,26545.0,,0
45503,FONDO CANARIO DE FINANCIACIÓN MUNICIPAL,29132559.07,,29132559.07,28658697.47,0
46100,TRANSF. CTES. DEL CABILDO DE GRAN CANARIA,386877.34,29210.34,416087.68,574113.3,0
51100,INT. DE ANTICIPOS Y PTMOS CONCEDIDOS DE ORG. AUT. Y AGENCIAS,11537.94,,11537.94,9580.58,0
51400,"INT. DE ANT. DE SOC MERC, ENT PÚB EMPR Y OTROS ORG. PÚBL.",26684.49,,26684.49,22157.59,0
52000,INTERESES BANCOS Y CAJAS DE AHORROS,200000.0,,200000.0,180950.5,0
53410,DE SOC Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES.,,,,422020.11,0
54100,ARRENDAMIENTO DE FINCAS URBANAS,320307.99,,320307.99,295718.74,0
55001,PTO DE CONCESIONES ADMINISTRATIVAS DE CEMENTERIOS,50000.0,,50000.0,186298.76,0
55002,PTO DE OTRAS CONCESIONES ADMINISTRATIVAS,539082.98,,539082.98,813954.09,0
60000,ENAJENACION DE SOLARES,1318631.68,,1318631.68,,0
60200,PARCELAS SOBRANTES DE LA VÍA PÚBLICA,,,,33451.43,0
60300,PATRIMONIO PÚBLICO DEL SUELO,,,,46922.19,0
61000,ENAJENACION VVDAS. Y LOCALES DE NEGOCIO,107795.77,,107795.77,8833.45,0
72000,SUBVENCIONES EN CAPITAL DEL ESTADO,1305760.0,396900.74,1702660.74,1638877.74,0
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,1133856.26,480082.57,1613938.83,1275306.04,0
76100,SUBVENCIONES CABILDO INSULAR,8231321.67,225328.71,8456650.38,2138223.41,0
78000,TRANSF. DE CAPITAL DE FAMILIAS E INST. SIN FINES DE LUCRO,232500.0,,232500.0,,0
82120,DE ENTIDADES LOCALES.,381398.69,,381398.69,381398.72,0
83000,REINTEGRO PRÉSTAMOS A CORTO PLAZO (ANTICIPOS AL PERSONAL),140000.0,,140000.0,325084.06,0
87000,REMANENTE DE TESORERÍA PARA GASTOS GENERALES,,31808485.39,31808485.39,,0
87010,REMANENTE DE TESORERÍA PARA GASTOS CON FINANCIACIÓN AFECTADA,,2212923.94,2212923.94,,0
91300,PTMOS. RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,,,,,0
91301,PTMOS. RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,,,,,0
#,,342069731.99,35179476.69,377249208.68,347189624.6,
