#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0150A,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,,,,23148.34,
0150A,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,3800.0,,3800.0,,
0150A,91200,23010,DIETAS DEL PERSONAL DIRECTIVO,3400.0,,3400.0,1431.82,
0150A,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1800.0,,1800.0,77.13,
0150A,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,2900.0,,2900.0,,
0150A,91200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,2500.0,,2500.0,2816.89,
0150A,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,356.59,
0150A,91200,23300,OTRAS INDEMNIZACIONES PERSONAL,,,,7062.0,
0150A,91200,48900,OTRAS TRANSFERENCIAS A FAMILIAS E INSTIT. SIN FINES DE LUCRO,110000.0,-87000.0,23000.0,22500.0,
0150A,91200,48905,"OTRAS TRANSFERENCIAS """"CASA DE ÁFRICA""""",180000.0,,180000.0,180000.0,
0150A,92000,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,339765.0,,339765.0,219955.25,
0150A,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,218482.85,11090.5,229573.35,86794.48,
0150A,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,165903.54,1917.96,167821.5,64477.38,
0150A,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,486733.52,,486733.52,289335.62,
0150A,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,405692.25,,405692.25,20896.43,
0150A,92000,12005,SUELDOS PERSONAL FUNCIONARIO GRUPO E,24132.68,,24132.68,20728.92,
0150A,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,2193390.95,751.94,2194142.89,1668347.17,
0150A,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,521942.57,5319.93,527262.5,246028.14,
0150A,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,688704.67,-117774.4,570930.27,324533.26,
0150A,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,1340337.6,-799185.96,541151.64,530011.54,
0150A,92000,12104,COMPLEMENTO ESPECÍFICO VARIABLE,700000.0,,700000.0,428066.93,
0150A,92000,12106,C.P.T. PERSONAL FUNCIONARIO,2865322.46,,2865322.46,2581823.31,
0150A,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,204401.18,1995.8,206396.98,75642.39,
0150A,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,87590.19,,87590.19,828658.89,
0150A,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,647586.2,,647586.2,421974.79,
0150A,92000,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,1639529.91,-421975.68,1217554.23,173399.14,
0150A,92000,13101,SUSTITUCIONES I.T. LABORALES,15000.0,,15000.0,2549.55,
0150A,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,,36000.0,36000.0,2768311.42,
0150A,92000,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,,10000.0,10000.0,19295.83,
0150A,92000,15004,PRODUCTIVIDAD PERSONAL LABORAL,,1196015.68,1196015.68,1185236.79,
0150A,92000,16205,SEGUROS,180352.3,-65239.92,115112.38,84967.83,
0150A,92000,16208,COBERTURA PARA RIESGOS DE ACCIDENTES DE TRABAJO,71561.03,,71561.03,,
0150A,92004,12007,PREVISIÓN PAGO DE SENTENCIAS JURISD. CONTENC.-ADMINISTRATIVO,50000.0,,50000.0,49272.36,
0150A,92004,13001,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,67002.65,-39500.0,27502.65,12096.58,
0150A,92004,13004,PREVISIÓN PAGO DE SENTENCIAS JURISD. LABORAL,50000.0,,50000.0,544652.67,
0150A,92004,13005,CLASIFICACIONES POR SENTENCIAS Y PAGO DE INTERESES,20000.0,,20000.0,25269.9,
0150A,92004,15100,GRATIFICACIONES,100000.0,-22000.0,78000.0,176629.11,
0150A,92300,12007,PREVISIÓN PAGO DE SENTENCIAS JURISD. CONTENC.-ADMINISTRATIVO,,,,,
0150A,92300,13001,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,,,14879.48,
0150A,92300,13004,PREVISIÓN PAGO DE SENTENCIAS JURISD. LABORAL,,,,,
0150A,92300,13005,CLASIFICACIONES POR SENTENCIAS Y PAGO DE INTERESES,,,,,
0150A,92300,15100,GRATIFICACIONES,,363000.0,363000.0,262767.95,
0150A,92300,16207,PREMIOS REGLAMENTO,,,,6010.0,
0150B,91200,10000,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,279865.64,-45160.68,234704.96,249768.59,
0150B,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,377276.4,,377276.4,378026.92,
0150B,91200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,56561.55,,56561.55,,
0150B,91200,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,,,,,
0150B,91200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,106562.96,,106562.96,34560.96,
0150B,91200,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,130037.25,,130037.25,7191.0,
0150B,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,132330.7,,132330.7,22049.07,
0150B,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,164060.69,,164060.69,22914.72,
0150B,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,374068.8,-318864.88,55203.92,53222.4,
0150B,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,46533.1,,46533.1,6692.16,
0150B,91200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,,,,4202.84,
0150B,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,,14000.0,14000.0,536580.99,
0150B,91200,21500,REPAR/MANTEN. MOBILIARIO,341.97,,341.97,128.4,
0150B,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3078.0,,3078.0,3123.34,
0150B,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",615.6,,615.6,370.0,
0150B,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3078.0,,3078.0,351.36,
0150B,91200,22201,COMUNICACIONES POSTALES,3442.5,,3442.5,480.14,
0150B,91200,22202,COMUNICACIONES TELEGRÁFICAS,346.28,,346.28,,
0150B,91200,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,11784.53,15000.0,26784.53,15195.51,
0150B,91200,22602,PUBLICIDAD Y PROPAGANDA,,,,5979.09,
0150B,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",13089.19,13097.45,26186.64,9989.59,
0150B,91200,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,4716.37,22500.0,27216.37,26426.45,
0150B,91200,22699,OTROS GASTOS DIVERSOS,30372.7,20476.2,50848.9,64657.75,
0150B,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1682.9,,1682.9,,
0150B,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,10515.96,,10515.96,5099.35,
0150B,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,6156.0,,6156.0,,
0150B,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,17010.0,,17010.0,10291.09,
0150B,91200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,,,,554.29,
0150B,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,13770.0,-3140.45,10629.55,416.59,
0150C,91200,21500,REPAR/MANTEN. MOBILIARIO,220.0,,220.0,1790.67,
0150C,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,400.0,,400.0,,
0150C,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",27000.0,,27000.0,10094.0,
0150C,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,400.0,236.28,636.28,236.28,
0150C,91200,22201,COMUNICACIONES POSTALES,80.0,,80.0,,
0150C,91200,22602,PUBLICIDAD Y PROPAGANDA,67500.0,12990.43,80490.43,46491.83,
0150C,91200,22603,PUBLICACIÓN EN DIARIOS OFICIALES,5000.0,17185.79,22185.79,22125.98,
0150C,91200,22699,OTROS GASTOS DIVERSOS,5000.0,,5000.0,7273.0,
0150C,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,45800.0,,45800.0,75617.69,
0150C,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,600.0,,600.0,,
0150D,91200,48001,GRUPOS POLÍTICOS,32000.0,,32000.0,31999.3,
0150E,23100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",427.0,,427.0,,
0150E,23100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,427.0,,427.0,,
0150E,23100,22200,SERVICIOS DE TELECOMUNICACIONES,346.0,,346.0,,
0150E,23100,22201,COMUNICACIONES POSTALES,693.0,,693.0,,
0150E,23100,22203,COMUNICACIONES INFORMÁTICAS,346.0,,346.0,,
0150E,23100,22300,GASTOS DE TRANSPORTES,1000.0,,1000.0,,
0150E,23100,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,471.0,,471.0,,
0150E,23100,22699,OTROS GASTOS DIVERSOS,490.0,,490.0,,
0150E,23100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,400.0,,400.0,,
0150E,23100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,400.0,,400.0,,
0150E,23100,48000,ATENCIONES BENÉFICAS Y ASISTENCIALES,9000.0,-3201.0,5799.0,,
0150E,23100,48917,"OTRAS TRANSFERENCIAS """"UNICEF""""",6000.0,-6000.0,,,
0150E,23100,48918,"OTRAS TRANSFERENCIAS """"CENTRO LOGÍSTICO CRUZ ROJA""""",10000.0,-10000.0,,,
0150F,92000,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,50.0,50.0,49.59,
0150F,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,907.55,
0150F,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,1148.23,
0150F,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",4286.0,-50.0,4236.0,3877.98,
0150F,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3886.03,-465.0,3421.03,1567.38,
0150F,92000,22201,COMUNICACIONES POSTALES,,,,10.2,
0150F,92000,22699,OTROS GASTOS DIVERSOS,200.0,,200.0,192.6,
0150F,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,3227.97,,3227.97,3059.34,
0150F,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,,,,418.35,
0150F,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,200.0,,200.0,,
0150F,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,,,,255.78,
0150F,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,200.0,,200.0,11.85,
0150G,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,171.77,
0150G,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,800.0,,800.0,,
0150G,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",2600.0,-375.34,2224.66,,
0150G,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2500.0,,2500.0,2657.96,
0150G,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,2300.0,-2300.0,,,
0150G,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,600.0,-600.0,,,
0150G,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,200.0,-200.0,,,
0150G,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,800.0,-800.0,,20.7,
0150G,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,200.0,-138.34,61.66,,
0150H,92000,21500,REPAR/MANTEN. MOBILIARIO,3000.0,,3000.0,533.11,
0150H,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,2000.0,,2000.0,528.69,
0150H,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",2000.0,,2000.0,447.99,
0150H,92000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",226800.0,170000.0,396800.0,406990.67,
0150H,92000,22699,OTROS GASTOS DIVERSOS,10000.0,-3600.0,6400.0,,
0150H,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,2000.0,,2000.0,511.01,
0150H,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1200.0,,1200.0,2860.51,
0150H,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,1000.0,,1000.0,346.89,
0150H,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,2877.19,
0150I,92000,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,1589.88,,1589.88,1237.13,
0150I,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,5000.0,,5000.0,3609.11,
0150I,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",600.0,,600.0,598.97,
0150I,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3800.0,,3800.0,3800.0,
0150I,92000,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,220011.0,,220011.0,220011.0,
0150I,92000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",18399.12,,18399.12,3871.07,
0150I,92000,22699,OTROS GASTOS DIVERSOS,655733.55,400000.0,1055733.55,992084.83,
0150I,92000,35200,INTERESES DE DEMORA,40000.0,-30000.0,10000.0,102.71,
0151A,92000,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,,2100.0,2100.0,1100.0,
0151A,92000,20500,ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,8120.21,,8120.21,4351.57,
0151A,92000,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,2519.02,
0151A,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,200.0,,200.0,3078.16,
0151A,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",2575.43,,2575.43,2444.79,
0151A,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,800.0,,800.0,2000.59,
0151A,92000,22104,VESTUARIO,,,,136.73,
0151A,92000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",37624.75,40000.0,77624.75,42144.09,
0151A,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",500.0,,500.0,9296.24,
0151A,92000,22607,OPOSICIONES Y PRUEBAS SELECTIVAS,3500.0,-2086.5,1413.5,5797.88,
0151A,92000,22699,OTROS GASTOS DIVERSOS,500.0,,500.0,297.9,
0151A,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,23529.61,,23529.61,31436.23,
0151A,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,250.0,,250.0,,
0151A,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,250.0,,250.0,,
0151A,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,150.0,,150.0,,
0151A,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,206.95,
0151A,92000,64100,GASTOS EN APLICACIONES INFORMÁTICAS,,3804.08,3804.08,2996.0,
0151A,92000,83100,ANTICIPOS AL PERSONAL A LARGO PLAZO,290000.0,,290000.0,289897.91,
0151A,92300,12007,PREVISIÓN PAGO DE SENTENCIAS JURISD. CONTENC.-ADMINISTRATIVO,,,,,
0151A,92300,13004,PREVISIÓN PAGO DE SENTENCIAS JURISD. LABORAL,,,,,
0151A,92300,13005,CLASIFICACIONES POR SENTENCIAS Y PAGO DE INTERESES,,,,,
0151B,92000,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,2000.0,,2000.0,,
0151B,92000,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,2441.67,
0151B,92000,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",1300.0,,1300.0,252.0,
0151B,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,51.36,
0151B,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1000.0,,1000.0,62.7,
0151B,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,248.72,
0151B,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,,290.99,
0151B,92000,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO,1000.0,,1000.0,,
0151B,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,,1123.5,
0151B,92000,22699,OTROS GASTOS DIVERSOS,2000.0,-900.0,1100.0,,
0151B,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,27220.58,,27220.58,23422.7,
0151B,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,479.42,,479.42,,
0151C,13500,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,8600.0,8600.0,8600.0,
0151C,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,150.0,,150.0,,
0151C,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",32600.0,-12380.95,20219.05,20141.12,
0151C,92000,22699,OTROS GASTOS DIVERSOS,250.0,,250.0,,
0151C,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,,,,,
0152A,92000,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,,500.0,500.0,95.0,
0152A,92000,21500,REPAR/MANTEN. MOBILIARIO,2000.0,-2000.0,,,
0152A,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,300.0,,300.0,1303.45,
0152A,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,5000.0,-5000.0,,,
0152A,92000,22104,VESTUARIO,3000.0,-3000.0,,,
0152A,92000,22300,GASTOS DE TRANSPORTES,,,,643.75,
0152A,92000,22602,PUBLICIDAD Y PROPAGANDA,5000.0,,5000.0,5000.0,
0152A,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",10000.0,-10000.0,,,
0152A,92000,22699,OTROS GASTOS DIVERSOS,3400.0,-3400.0,,,
0152A,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,85000.0,-63166.93,21833.07,20621.18,
0152A,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,,,,272.92,
0152A,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1300.0,,1300.0,514.68,
0152B,92300,21000,REPAR/MANTEN. INFRAESTRUCTURA Y BIENES NATURALES,8065.62,,8065.62,3069.99,
0152B,92300,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,48.15,
0152B,92300,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,6682.08,,6682.08,12503.01,
0152B,92300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2200.0,,2200.0,1524.04,
0152B,92300,22201,COMUNICACIONES POSTALES,2000.0,,2000.0,11052.5,
0152B,92300,22699,OTROS GASTOS DIVERSOS,8000.0,,8000.0,,
0152B,92300,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1000.0,,1000.0,1000.0,
0152B,92300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,16552.3,,16552.3,11264.26,
0152B,92300,23020,DIETAS DEL PERSONAL NO DIRECTIVO,,,,114.4,
0152B,92300,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,500.0,,500.0,154.09,
0152C,92500,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,500.0,,500.0,578.28,
0152C,92500,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,2250.0,,2250.0,500.2,
0152C,92500,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2250.0,,2250.0,1849.62,
