#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
39190,OTRAS MULTAS Y SANCIONES,624000.0,,624000.0,746711.39
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,100.0,,100.0,
39210,RECARGO EJECUTIVO,248000.0,,248000.0,353260.68
39211,RECARGO DE APREMIO,1635000.0,,1635000.0,2489315.95
39300,INTERESES DE DEMORA,612000.0,,612000.0,785096.07
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,1040416.0,,1040416.0,
39900,RECURSOS EVENTUALES,65455.0,,65455.0,1328743.35
39901,OTROS INGRESOS DIVERSOS,154530.0,,154530.0,60686.62
39904,COSTAS JUDICIALES. RECAUDACIÓN EJECUTIVA.,121000.0,,121000.0,27389.76
42000,PARTICIPACIÓN EN LOS TRIBUTOS DEL ESTADO.,,,,
42010,FONDO COMPLEMENTARIO DE FINANCIACIÓN.,85369084.4,,85369084.4,88495793.35
42090,OTRAS TRANSF CORRIENTES DE LA ADMÓN GENERAL DEL ESTADO.,,21664.4,21664.4,3865.38
42190,TRANSFERENCIAS CTES DE OTROS ORGANISMOS AUTÓNOMOS Y AGENCIAS,,3600.0,3600.0,
45000,PARTICIPACIÓN EN LOS TRIBUTOS DE LA COMUNIDAD AUTÓNOMA,36072974.3,,36072974.3,
45002,TRANSF. CTES. CUMPLIM. DE CONV. SOC. Y POLÍT. DE IGUALDAD,2072928.4,157436.13,2230364.53,2187897.18
45004,APLICACIÓN LEY 8/2007 ESTATUTO DE CAPITALIDAD,2327633.0,,2327633.0,2319687.0
45060,OTRAS TRANSF. CTES. CUMPLIM. DE CONV. SUSCRITOS CON LA C.A.,,13540.25,13540.25,
45080,OTRAS SUBV. CTES. DE LA ADMÓN. GENERAL DE LA COM. AUTÓNOMA,,16900.0,16900.0,
45101,TRANSF. CTES. OO.AA. DE LA C.A. SERVICIO CANARIO DE EMPLEO,,133487.89,133487.89,133487.89
45102,TRANSF. CTES. ORG. AUT. INSTITUTO CAN. DE LA VVDA.,,,,
45503,FONDO CANARIO DE FINANCIACIÓN MUNICIPAL,26631615.62,,26631615.62,26658102.29
46100,TRANSF. CTES. DEL CABILDO DE GRAN CANARIA,270414.94,14316.69,284731.63,945999.08
46600,OTRAS ENTIDADES QUE AGRUPEN MUNICIPIOS. FECAM,,,,
47001,DE EMPRESAS PRIVADAS. OTRAS,,,,
48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO.,,186788.15,186788.15,186788.15
51100,INT. DE ANTICIPOS Y PTMOS CONCEDIDOS DE ORG. AUT. Y AGENCIAS,63932.07,,63932.07,57594.38
51400,"INT. DE ANT. DE SOC MERC, ENT PÚB EMPR Y OTROS ORG. PÚBL.",147859.54,,147859.54,133201.98
52000,INTERESES BANCOS Y CAJAS DE AHORROS,500000.0,,500000.0,320021.95
53410,DE SOC Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES.,,,,481311.88
54100,ARRENDAMIENTO DE FINCAS URBANAS,298085.26,,298085.26,169843.7
55000,PRODUCTO DE CONCESIONES ADMTVAS DE APARCAMIENTOS,25592.5,,25592.5,8406.85
55001,PTO DE CONCESIONES ADMINISTRATIVAS DE CEMENTERIOS,50000.0,,50000.0,120453.81
55002,PTO DE OTRAS CONCESIONES ADMINISTRATIVAS,507243.86,,507243.86,815520.17
59902,SUMINISTRO ELÉCTRICO EN EVENTOS.,,,,
60000,ENAJENACION DE SOLARES,334424.99,,334424.99,
60100,VENTA DE FINCAS RUSTICAS,,,,15755.0
61000,ENAJENACION VVDAS. Y LOCALES DE NEGOCIO,281797.49,,281797.49,24819.68
72000,SUBVENCIONES EN CAPITAL DEL ESTADO,,,,118195.35
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,,,,
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMÓN GNRAL DE LA C.A,,8777.24,8777.24,
76100,SUBVENCIONES CABILDO INSULAR,,1065648.29,1065648.29,577239.53
78000,TRANSF. DE CAPITAL DE FAMILIAS E INST. SIN FINES DE LUCRO,,36954.57,36954.57,
79000,TRANSF. CAPITAL  FONDO SOCIAL EUROPEO,,,,99998.99
79400,DEL FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL (FEADER).,,23739.02,23739.02,
82120,DE ENTIDADES LOCALES.,113804.46,,113804.46,113804.45
83100,REINTEGRO PRÉSTAMOS A LARGO PLAZO (ANTICIPOS AL PERSONAL),290000.0,,290000.0,360554.0
87000,REMANENTE DE TESORERÍA PARA GASTOS GENERALES,,13542815.26,13542815.26,
87010,REMANENTE DE TESORERÍA PARA GASTOS CON FINANCIACIÓN AFECTADA,,671404.9,671404.9,
91101,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,,
91102,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,,
91300,PRÉSTAMOS RECIBIDOS L/P. ENTES FUERA DEL SECTOR PÚBLICO,,,,62075530.54
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,,62075530.54,62075530.54,
#,,300087810.39,78032474.79,378120285.18,382199140.35
