#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0001D,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,0,0,0,25.5
0001D,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,600,0,600,0
0101A,93100,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,60420.6,0,60420.6,11487.61
0101A,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,14561.95,0,14561.95,1120.15
0101A,93100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,0,0,0,1728.26
0101A,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8726.76,0,8726.76,8814.12
0101A,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,3189.6,0,3189.6,4031.99
0101A,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,10122.27,0,10122.27,4506.92
0101A,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,13292.19,0,13292.19,6247.14
0101A,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,28157.88,0,28157.88,12722.15
0101A,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,12831.48,0,12831.48,14218.06
0101A,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,3653.5,0,3653.5,1841.09
0101A,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,169472.64,0,169472.64,160449.76
0101A,93100,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,21068.28,0,21068.28,21115.84
0101A,93100,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,3253.08,0,3253.08,2876.87
0101A,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1000,-100,900,0
0101A,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1000,0,1000,653.82
0101A,93100,22606,"REUNIONES, CONFERENCIAS Y CURSOS",6000,0,6000,0
0101A,93100,22699,OTROS GASTOS DIVERSOS,6000,0,6000,0
0101A,93100,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,10000,6000,16000,19099.5
0101A,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,20000,0,20000,32100
0101A,93100,23010,DIETAS DEL PERSONAL DIRECTIVO,1000,0,1000,182.01
0101A,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,500,0,500,0
0101A,93100,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,1000,0,1000,576.52
0101A,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,500,0,500,0
0101A,93100,64100,GASTOS EN APLICACIONES INFORMÁTICAS,8000,0,8000,0
0101B,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,80650.8,0,80650.8,52064.99
0101B,93100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,23245.68,0,23245.68,23478.24
0101B,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,53087.79,0,53087.79,52884.72
0101B,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,33026.4,0,33026.4,33857.65
0101B,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,84292.06,0,84292.06,77495.44
0101B,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,105502.95,0,105502.95,86721.31
0101B,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,261997.92,12896.79,274894.71,246143.6
0101B,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,0,0,0,1484.64
0101B,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,24396.6,0,24396.6,19976.92
0101B,93100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,15020.76,0,15020.76,15172.46
0101B,93100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,14437.8,0,14437.8,14585.04
0101B,93100,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,8973.12,0,8973.12,8838.48
0101B,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,204864.96,0,204864.96,206834.23
0101B,93100,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,2000,0,2000,0
0101B,93100,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,2043.97,0,2043.97,766.26
0101B,93100,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACIÓN,0,0,0,0
0101B,93100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,400,0,400,0
0101B,93100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,556.03,0,556.03,0
0101B,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,250,0,250,0
0101B,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3000,0,3000,3119.83
0101B,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3000,0,3000,1946.46
0101B,93100,22201,COMUNICACIONES POSTALES,100,0,100,0
0101B,93100,22300,GASTOS DE TRANSPORTES,400,0,400,0
0101B,93100,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,0,0,3891.58
0101B,93100,22699,OTROS GASTOS DIVERSOS,200,0,200,0
0101B,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,18150,-1563.7,16586.3,0
0101B,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1000,0,1000,0
0101B,93100,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,0,0,0,336.05
0101B,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,900,0,900,0
0101B,93100,64100,GASTOS EN APLICACIONES INFORMÁTICAS,36000,0,36000,0
0101C,01100,31000,INTERESES PRÉSTAMOS DEL INTERIOR,495199.99,0,495199.99,145840.42
0101C,01100,31001,INTERESES PRESTAMOS. FFPP,75833.33,0,75833.33,0
0101C,01100,91300,AMORTIZACION PRÉSTAMOS A L/P ENTES NO PÚBLICOS,10821807.45,38681951.19,49503758.64,44302942.38
0101C,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,14561.95,0,14561.95,14696.47
0101C,93100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,24214.25,0,24214.25,20788.49
0101C,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,29089.2,0,29089.2,28624.05
0101C,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,16477.68,0,16477.68,19677.56
0101C,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,35433.91,0,35433.91,35035.54
0101C,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,40629,0,40629,40947.53
0101C,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,106417.44,7342.64,113760.08,111186.02
0101C,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,6231.48,0,6231.48,6304.21
0101C,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,10462.78,0,10462.78,9908.25
0101C,93100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,31454.4,0,31454.4,28813.7
0101C,93100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,26921.04,0,26921.04,24661.97
0101C,93100,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,2095.44,0,2095.44,1679.82
0101C,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,414653.4,0,414653.4,400344.03
0101C,93100,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,2781.96,0,2781.96,2315.29
0101C,93100,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,2012.52,0,2012.52,1626.41
0101C,93100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,3000,0,3000,435.85
0101C,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,8000,-1851.1,6148.9,0
0101C,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3000,0,3000,20185.06
0101C,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2000,0,2000,3471.12
0101C,93100,22201,COMUNICACIONES POSTALES,500,0,500,0
0101C,93100,22500,TRIBUTOS ESTATALES,0,0,0,56
0101C,93100,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",3000,0,3000,3551.28
0101C,93100,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,0,0,0
0101C,93100,22699,OTROS GASTOS DIVERSOS,6400,0,6400,5727.66
0101C,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,100600,11134.65,111734.65,0
0101C,93100,23010,DIETAS DEL PERSONAL DIRECTIVO,1500,0,1500,720.09
0101C,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1500,0,1500,0
0101C,93100,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,2000,0,2000,626.58
0101C,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,4500,0,4500,1951.65
0101C,93100,64100,GASTOS EN APLICACIONES INFORMÁTICAS,239680,-85000,154680,0
0101C,93400,31100,GASTOS DE PRÉSTAMOS DEL INTERIOR,50000,0,50000,0
0101C,93400,35200,INTERESES DE DEMORA,2500000,0,2500000,561463.54
0101C,93400,82120,PRÉSTAMOS A LARGO PLAZO A ENTIDADES LOCALES.,0,0,0,0
0101D,92900,50000,FONDO DE CONTINGENCIA DE EJECUCIÓN PRESUPUESTARIA,1700000,-1700000,0,0
0101D,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,60546.24,0,60546.24,13576.32
0101D,93100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,0,11622.84,1937.14
0101D,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,0,17453.52,17628.24
0101D,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,10637.76,0,10637.76,11363.35
0101D,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,27187.8,0,27187.8,15170.31
0101D,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,24444,0,24444,20234.42
0101D,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,51551.52,0,51551.52,42533.08
0101D,93100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,2413.92,0,2413.92,11777.67
0101D,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,6580.56,0,6580.56,5213.52
0101D,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,73896,0,73896,74644.89
0101D,93100,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,6648.36,0,6648.36,5747.17
0101D,93100,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,2000,0,2000,0
0101D,93100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,450,0,450,2081.66
0101D,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,4500,0,4500,0
0101D,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",250,0,250,0
0101D,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,900,0,900,0
0101D,93100,22201,COMUNICACIONES POSTALES,300,0,300,0
0101D,93100,22500,TRIBUTOS ESTATALES,3000,0,3000,3130.1
0101D,93100,22699,OTROS GASTOS DIVERSOS,2000,0,2000,0
0101D,93100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,10000,-9000,1000,0
0101D,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,600,0,600,0
0101D,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1000,0,1000,0
0101E,93200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,57235.68,0,57235.68,50103.3
0101E,93200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,72809.75,0,72809.75,19034.57
0101E,93200,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,48428.5,0,48428.5,62605.6
0101E,93200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,185443.65,0,185443.65,168195.51
0101E,93200,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,43578,0,43578,14671.44
0101E,93200,12005,SUELDOS PERSONAL FUNCIONARIO GRUPO E,19942.56,0,19942.56,15106.5
0101E,93200,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,96374.16,0,96374.16,86431.73
0101E,93200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,174456.83,0,174456.83,138813.39
0101E,93200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,220129.94,0,220129.94,172322.44
0101E,93200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,441562.36,0,441562.36,361476.41
0101E,93200,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,62165.28,0,62165.28,45096.69
0101E,93200,12300,RESIDENCIA PERSONAL FUNCIONARIO,58104.26,0,58104.26,43867.87
0101E,93200,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,171304.44,0,171304.44,165841.22
0101E,93200,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,155372.88,0,155372.88,148390.36
0101E,93200,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,12796.68,0,12796.68,12945.32
0101E,93200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,83040.84,0,83040.84,90447.88
0101E,93200,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,2310350.4,0,2310350.4,2222060.26
0101E,93200,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,153622.2,0,153622.2,140325.5
0101E,93200,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,30428.76,0,30428.76,25601.82
0101E,93200,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,0,297.52,297.52,297.52
0101E,93200,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,14550.8,-9587.14,4963.66,4252.2
0101E,93200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,4000,-1200,2800,249.16
0101E,93200,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,1600,0,1600,1247.15
0101E,93200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,5000,0,5000,883.39
0101E,93200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1500,0,1500,3925.82
0101E,93200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,10000,0,10000,4553.92
0101E,93200,22201,COMUNICACIONES POSTALES,1600000,0,1600000,1854661.71
0101E,93200,22500,TRIBUTOS ESTATALES,0,0,0,14.98
0101E,93200,22602,PUBLICIDAD Y PROPAGANDA,10000,0,10000,2538.47
0101E,93200,22603,PUBLICACIÓN EN DIARIOS OFICIALES,0,0,0,1222.05
0101E,93200,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",7500,0,7500,16131.67
0101E,93200,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,12085.85,12085.85,315489.27
0101E,93200,22699,OTROS GASTOS DIVERSOS,10000,-297.52,9702.48,67.55
0101E,93200,22708,SERVICIOS DE RECAUDACIÓN A FAVOR DE LA ENTIDAD,298783.86,-100000,198783.86,354.32
0101E,93200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,701642.5,-26888.69,674753.81,95424.89
0101E,93200,23010,DIETAS DEL PERSONAL DIRECTIVO,350,0,350,0
0101E,93200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,350,0,350,140.37
0101E,93200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,400,0,400,0
0101E,93200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,5000,0,5000,2209.42
0101E,93200,62400,ELEMENTOS DE TRANSPORTE,0,7500,7500,0
0101F,93100,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,177788.64,0,177788.64,179351.46
0101F,93100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,6720.9,0,6720.9,0
0101F,93100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8726.76,0,8726.76,8086.89
0101F,93100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,2373.6,0,2373.6,2200.52
0101F,93100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,6012.06,0,6012.06,3682.31
0101F,93100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,7330.8,0,7330.8,3826.83
0101F,93100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,14781.36,0,14781.36,7247.36
0101F,93100,12106,C.P.T. PERSONAL FUNCIONARIO,0,0,0,1880.57
0101F,93100,12300,RESIDENCIA PERSONAL FUNCIONARIO,2440.68,0,2440.68,1298.4
0101F,93100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,21717.72,0,21717.72,23919.76
0101F,93100,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,7226.52,0,7226.52,6898.67
0101F,93100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,1500,0,1500,0
0101F,93100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1500,0,1500,0
0101F,93100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1500,0,1500,365.39
0101F,93100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1500,0,1500,1391.54
0101F,93100,22201,COMUNICACIONES POSTALES,300,0,300,0
0101F,93100,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",400,0,400,0
0101F,93100,22606,"REUNIONES, CONFERENCIAS Y CURSOS",500,0,500,0
0101F,93100,22699,OTROS GASTOS DIVERSOS,1200,0,1200,0
0101F,93100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1800,0,1800,140.77
0101F,93100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1800,0,1800,226.66
0101G,13200,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,0,35329.52,35329.52,0
0101G,13200,62500,MOBILIARIO,19500,0,19500,19500
0101G,13600,62500,MOBILIARIO,18000,9000,27000,3323.85
0101G,15101,62500,MOBILIARIO,1500,0,1500,1358.93
0101G,15102,62500,MOBILIARIO,0,399.26,399.26,0
0101G,16000,62500,MOBILIARIO,0,948.09,948.09,520.48
0101G,16210,62500,MOBILIARIO,6000,19912,25912,6000
0101G,16300,62500,MOBILIARIO,6000,0,6000,5815.13
0101G,16500,62500,MOBILIARIO,0,754.17,754.17,0
0101G,17000,62500,MOBILIARIO,7400,0,7400,0
0101G,17100,62500,MOBILIARIO,0,5940.11,5940.11,0
0101G,17200,62500,MOBILIARIO,0,1859.21,1859.21,613.11
0101G,23100,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,0,5800,5800,0
0101G,23100,62500,MOBILIARIO,69673,2500,72173,36471.14
0101G,32000,62500,MOBILIARIO,0,4680,4680,0
0101G,33400,62500,MOBILIARIO,0,264.95,264.95,264.95
0101G,43120,62500,MOBILIARIO,0,390,390,0
0101G,91200,62500,MOBILIARIO,0,4954.57,4954.57,3324.82
0101G,92000,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,0,3391.9,3391.9,3391.9
0101G,92000,62500,MOBILIARIO,0,27682,27682,2336.16
0101G,92310,62500,MOBILIARIO,0,21364.9,21364.9,18874.91
0101G,92400,62500,MOBILIARIO,0,10017.41,10017.41,10017.41
0101G,92500,62500,MOBILIARIO,0,2925.38,2925.38,566.03
0101G,93100,62500,MOBILIARIO,0,3514.8,3514.8,1659.31
0101G,93200,62500,MOBILIARIO,0,11200,11200,9056.81
0101G,93300,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13441.8,0,13441.8,0
0101G,93300,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,5811.42,0,5811.42,5112.2
0101G,93300,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,11635.68,0,11635.68,8770.44
