#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
39100,MULTAS POR INFRACCIONES URBANÍSTICAS,1000.0,,1000.0,638.74
39110,MULTAS POR INFRACCIONES TRIBUTARIAS Y ANÁLOGAS,350000.0,,350000.0,
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,5918328.0,,5918328.0,8965117.08
39190,OTRAS MULTAS Y SANCIONES,99981.0,,99981.0,1039580.71
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIM. PREVIO,100.0,,100.0,
39210,RECARGO EJECUTIVO 5%,116165.0,,116165.0,283339.07
39211,RECARGO DE APREMIO,1292624.0,,1292624.0,1580463.42
39300,INTERESES DE DEMORA,437742.0,,437742.0,607842.19
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS,1240416.0,,1240416.0,273000.0
39900,RECURSOS EVENTUALES,85000.0,,85000.0,30536.74
39901,OTROS INGRESOS DIVERSOS,153000.0,,153000.0,78268.31
39904,COSTAS JUDICIALES. RECAUDACIÓN EJECUTIVA,99000.0,,99000.0,30769.81
42000,PARTICIPACIÓN EN LOS TRIBUTOS DEL ESTADO,,,,
42010,FONDO COMPLEMENTARIO DE FINANCIACIÓN,85019664.4,,85019664.4,88146365.52
42090,OTRAS TRANSF CORRIENTES DE LA ADMÓN GENERAL DEL ESTADO.,,,,
42091,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO. CENTROS CONCERTADOS,,,,302575.17
42190,DE OTROS ORGANISMOS AUTÓNOMOS Y AGENCIAS.,,37406.0,37406.0,41700.8
45000,PARTICIPACIÓN EN LOS TRIBUTOS DE LA COMUNIDAD AUTÓNOMA,34413574.54,,34413574.54,
45002,TRANSF. CTES. CUMPLIM. DE CONV. SOC. Y POLÍT. DE IGUALDAD,1220988.95,65124.3,1286113.25,2283482.83
45004,APLICACIÓN LEY 8/2007 ESTATUTO DE CAPITALIDAD COMPARTIDA,2336981.0,,2336981.0,2942009.8
45060,OTRAS TRANSF. CTES. CUMPLIM. DE CONV. SUSCRITOS CON LA C.A.,,,,
45080,OTRAS SUBV. CTES. DE LA ADMÓN. GENERAL DE LA COM. AUTÓNOMA,,,,
45102,TRANSF. CTES. ORG. AUTÓNOMOS. INSTITUTO CAN. DE LA VIVIENDA,,,,
45502,SUBVENCIONES EXPLOTACION CMDAD. AUTONOMA,,,,1549913.04
45503,FONDO CANARIO DE FINANCIACIÓN MUNICIPAL,29777724.31,,29777724.31,29691370.25
46100,TRANSFERENCIAS CORRIENTES DEL CABILDO DE GRAN CANARIA,,50916.63,50916.63,599900.26
47001,DE EMPRESAS PRIVADAS. OTRAS,,,,
48000,TRANSF. CTES.DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO.,,134503.11,134503.11,134503.11
49100,TRANSFERENCIAS CORRIENTES DEL FONDO DE DESARROLLO REGIONAL,,75000.0,75000.0,13234.19
51100,INT. DE ANTICIPOS Y PTMOS CONCEDIDOS DE ORG. AUT. Y AGENCIAS,58677.37,,58677.37,55907.49
51400,"INT. DE ANT. DE SOC MERC, ENT PÚB EMPR Y OTROS ORG. PÚBL.",135706.69,,135706.69,172567.5
52000,INTERESES BANCOS Y CAJAS DE AHORROS,500000.0,,500000.0,399266.92
53410,DE SOC Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES.,,,,372073.58
54100,ARRENDAMIENTO DE FINCAS URBANAS,291441.94,,291441.94,172512.41
55000,PRODUCTO DE CONCESIONES ADMTVAS DE APARCAMIENTOS,28454.0,,28454.0,8404.79
55001,PTO DE CONCESIONES ADMINISTRATIVAS DE CEMENTERIOS,50000.0,,50000.0,86293.33
55002,PTO DE OTRAS CONCESIONES ADMINISTRATIVAS,471897.0,,471897.0,2253534.53
59901,ENAJENAC MAT. RECICLABLE DESMANT. PLANTA DESALADORA L.P. II,500000.0,,500000.0,909069.16
60000,ENAJENACIÓN DE SOLARES,203328.53,,203328.53,
61000,ENAJENACIÓN DE VIVIENDAS Y LOCALES DE NEGOCIO,218126.87,,218126.87,35273.74
72000,SUBVENCIONES DE CAPITAL DEL ESTADO,190547.93,745829.86,936377.79,551233.36
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,,159260.72,159260.72,361503.26
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMÓN GNRAL DE LA C.A,,,,
76100,SUBVENCIONES DE CAPITAL DEL CABILDO INSULAR DE GRAN CANARIA,2829497.35,4385514.53,7215011.88,1687530.98
76700,CONSORCIO DE VIVIENDAS DE GRAN CANARIA,,26145.72,26145.72,104369.04
78000,TRANSF. DE CAPITAL DE FAMILIAS E INST. SIN FINES DE LUCRO,,92822.11,92822.11,123762.63
82120,REINTEGRO PTMOS. CONCEDIDOS AL SECT. PÚBL. L.P. DE ENT. LOC.,850756.07,,850756.07,946710.74
83100,REINTEGRO PRÉSTAMOS A LARGO PLAZO (ANTICIPOS AL PERSONAL),290000.0,,290000.0,208851.56
87000,REMANENTE DE TESORERÍA PARA GASTOS GENERALES,,3208814.35,3208814.35,
87010,REMANENTE DE TESORERÍA PARA GASTOS CON FINANCIACIÓN AFECTADA,,6476950.87,6476950.87,
91101,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,,
91102,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,,17715896.39
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,,,,
#,,302419937.98,15458288.2,317878226.18,341833396.88
