#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0150E,23100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,46.01,
0150E,23100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,1584.78,
0150E,23100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",427.5,,427.5,,
0150E,23100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,427.5,,427.5,436.01,
0150E,23100,22200,SERVICIOS DE TELECOMUNICACIONES,346.5,,346.5,,
0150E,23100,22201,COMUNICACIONES POSTALES,693.0,,693.0,,
0150E,23100,22203,COMUNICACIONES INFORMÁTICAS,346.5,,346.5,,
0150E,23100,22300,GASTOS DE TRANSPORTES,1282.5,,1282.5,,
0150E,23100,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,471.6,,471.6,,
0150E,23100,22699,OTROS GASTOS DIVERSOS,490.6,,490.6,2445.21,
0150E,23100,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,,
0150E,23100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,400.0,,400.0,206.74,
0150E,23100,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,,
0150E,23100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,400.0,,400.0,183.33,
0150E,23100,48000,ATENCIONES BENÉFICAS Y ASISTENCIALES,4200.0,,4200.0,3663.86,
0150E,23100,48903,OTRAS TRANSFERENCIAS CONV. COORD. ONG DESARROLLO DE CANARIAS,8000.0,,8000.0,8000.0,
0150E,23100,48917,OTRAS TRANSFERENCIAS UNICEF,6000.0,,6000.0,6000.0,
0150E,23100,48918,OTRAS TRANSFERENCIAS CENTRO LOGÍSTICO CRUZ ROJA,10000.0,,10000.0,10000.0,
0150F,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,39925.8,-8088.96,31836.84,31053.4,
0150F,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11507.76,,11507.76,11507.76,
0150F,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,51841.44,-1440.04,50401.4,50401.4,
0150F,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,21321.6,-3338.73,17982.87,18025.52,
0150F,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,42062.04,-4159.67,37902.37,37928.68,
0150F,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,65630.28,-8686.12,56944.16,56944.16,
0150F,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,93765.24,-14040.6,79724.64,79724.64,
0150F,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,16181.04,-1603.52,14577.52,14577.52,
0150F,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,44049.24,-5.72,44043.52,42236.48,
0150F,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,21050.88,-1.43,21049.45,20611.89,
0150F,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,23574.6,,23574.6,26533.68,
0150F,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,43.5,
0150F,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,1147.92,
0150F,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",4500.0,,4500.0,3305.34,
0150F,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4300.0,-285.16,4014.84,3188.61,
0150F,92000,22110,PRODUCTOS DE LIMPIEZA Y ASEO,,,,150.0,
0150F,92000,22201,COMUNICACIONES POSTALES,,,,6.09,
0150F,92000,22699,OTROS GASTOS DIVERSOS,200.0,,200.0,,
0150F,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,3014.38,,3014.38,3622.73,
0150F,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,,,,155.9,
0150F,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,200.0,,200.0,,
0150F,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,200.0,,200.0,264.67,
0150F,92000,64100,GASTOS EN APLICACIONES INFORMÁTICAS,,285.16,285.16,285.16,
0150G,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,24399.1,-11090.5,13308.6,13308.6,
0150G,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11507.76,-1917.96,9589.8,9589.8,
0150G,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17280.48,,17280.48,18555.45,
0150G,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,7191.0,,7191.0,5992.5,
0150G,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,15421.8,,15421.8,14356.91,
0150G,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,27008.08,-5350.14,21657.94,21657.94,
0150G,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,42825.98,-10330.03,32495.95,31703.02,
0150G,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,62000.58,-18249.33,43751.25,43751.25,
0150G,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,9374.04,-857.7,8516.34,7392.37,
0150G,92000,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,,,,2959.06,
0150G,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,64241.76,,64241.76,64188.02,
0150G,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,1030.85,
0150G,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,553.85,
0150G,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",4702.49,-3176.35,1526.14,,
0150G,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2330.82,,2330.82,2604.8,
0150G,92000,22699,OTROS GASTOS DIVERSOS,2000.0,-1500.0,500.0,,
0150G,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,905.0,,905.0,,
0150G,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,905.0,,905.0,10.85,
0150H,91200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,,,,9044.62,
0150H,92000,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,62300.28,-12502.83,49797.45,49797.45,
0150H,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,39925.8,-24399.1,15526.7,15526.7,
0150H,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,34560.96,-6726.37,27834.59,27834.59,
0150H,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,18241.2,-3182.4,15058.8,15058.8,
0150H,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,33771.96,-13720.88,20051.08,20051.08,
0150H,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,54812.04,-23293.05,31518.99,31518.99,
0150H,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,79650.48,-34292.27,45358.21,45358.21,
0150H,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,11724.24,-3803.58,7920.66,6870.43,
0150H,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,21868.44,,21868.44,21464.57,
0150H,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,20983.68,,20983.68,20504.16,
0150H,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,183602.52,,183602.52,176491.52,
0150H,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,642.13,
0150H,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3000.0,,3000.0,1747.68,
0150H,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3000.0,,3000.0,946.15,
0150H,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4000.0,,4000.0,,
0150H,92000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",339000.0,159000.0,498000.0,493169.72,
0150H,92000,22699,OTROS GASTOS DIVERSOS,1000.0,,1000.0,,
0150H,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,3105.0,,3105.0,,
0150H,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,,,,119.55,
0150H,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1000.0,,1000.0,1188.46,
0150H,92000,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,3000.0,,3000.0,212.01,
0150H,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,3000.0,,3000.0,1857.63,
0150I,93300,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,40499.76,-6471.72,34028.04,34028.04,
0150I,93300,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,38413.56,-6293.14,32120.42,32120.42,
0150I,93300,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,34165.68,,34165.68,34237.68,
0150I,93300,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,118474.68,-25441.91,93032.77,92960.77,
0150I,93300,20500,ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,3900.0,,3900.0,2041.43,
0150I,93300,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,5000.0,,5000.0,,
0150I,93300,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,561.54,
0150I,93300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3800.0,,3800.0,3590.81,
0150I,93300,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,300000.0,-79000.0,221000.0,220011.0,
0150I,93300,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",,,,6754.88,
0150I,93300,22699,OTROS GASTOS DIVERSOS,100000.0,,100000.0,65547.89,
0150I,93300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,1000.0,,1000.0,,
0150I,93300,35200,INTERESES DE DEMORA,72400.0,,72400.0,35857.53,
0151A,21100,16105,PENSIONES A CARGO DE LA ENTIDAD LOCAL.,151200.32,,151200.32,93807.31,
0151A,23000,16000,SEGURIDAD SOCIAL,19991649.72,1807699.73,21799349.45,21828471.33,
0151A,91200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,,,,8959.32,
0151A,91200,16205,SEGUROS,10512.16,,10512.16,4916.8,
0151A,92000,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,61171.44,,61171.44,48839.21,
0151A,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,106468.8,-75425.9,31042.9,5795.68,
0151A,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,86308.2,-25892.46,60415.74,19303.34,
0151A,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,138243.84,-8640.24,129603.6,120369.55,
0151A,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,21573.0,-5393.25,16179.75,7075.02,
0151A,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,32591.88,,32591.88,33927.8,
0151A,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,119819.52,-26733.81,93085.71,62088.29,
0151A,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,186146.28,-43288.47,142857.81,108851.44,
0151A,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,248011.8,-126435.55,121576.25,120835.96,
0151A,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,54711.12,-14264.04,40447.08,24168.91,
0151A,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,156671.16,,156671.16,60531.74,
0151A,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,98848.08,,98848.08,56735.35,
0151A,92000,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,22218.84,,22218.84,,
0151A,92000,13101,SUSTITUCIONES I.T. LABORALES,15000.0,,15000.0,12098.55,
0151A,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,470149.2,-9800.0,460349.2,379962.26,
0151A,92000,15000,PRODUCTIVIDAD,6464544.19,-196518.33,6268025.86,6267287.83,
0151A,92000,15004,PRODUCTIVIDAD PERSONAL LABORAL,,,,143.06,
0151A,92000,16205,SEGUROS,180352.3,-24500.0,155852.3,128169.66,
0151A,92000,16208,COBERTURA PARA RIESGOS DE ACCIDENTES DE TRABAJO,71561.03,,71561.03,,
0151A,92000,20500,ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,8120.21,,8120.21,4580.64,
0151A,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,200.0,,200.0,707.28,
0151A,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",576.0,,576.0,2271.43,
0151A,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,800.0,,800.0,2032.98,
0151A,92000,22202,COMUNICACIONES TELEGRÁFICAS,,,,29.67,
0151A,92000,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,217.41,
0151A,92000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",38914.28,17800.0,56714.28,49602.39,
0151A,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",500.0,,500.0,,
0151A,92000,22607,OPOSICIONES Y PRUEBAS SELECTIVAS,3500.0,,3500.0,526.3,
0151A,92000,22699,OTROS GASTOS DIVERSOS,500.0,,500.0,88.37,
0151A,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,,30000.0,30000.0,34061.96,
0151A,92000,23010,DIETAS DEL PERSONAL DIRECTIVO,250.0,,250.0,,
0151A,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,250.0,,250.0,,
0151A,92000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,150.0,,150.0,,
0151A,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,188.45,
0151A,92000,83100,ANTICIPOS AL PERSONAL A LARGO PLAZO,290000.0,,290000.0,284466.32,
0151A,92300,12007,PREVISIÓN PAGO DE SENTENCIAS JURISD. CONTENC.-ADMINISTRATIVO,100000.0,,100000.0,138562.05,
0151A,92300,13001,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,117257.35,-71598.26,45659.09,45659.09,
0151A,92300,13004,PREVISIÓN PAGO DE SENTENCIAS JURISD. LABORAL,300000.0,,300000.0,594241.22,
0151A,92300,13005,CLASIFICACIONES POR SENTENCIAS Y PAGO DE INTERESES,20000.0,,20000.0,19716.43,
0151A,92300,15100,GRATIFICACIONES,125000.0,330589.06,455589.06,455549.29,
0151A,92300,16207,PREMIOS REGLAMENTO,,,,6160.25,
0151B,31301,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8640.24,,8640.24,8640.24,
0151B,31301,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,2867.4,,2867.4,2867.4,
0151B,31301,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,3287.4,-0.02,3287.38,3287.38,
0151B,31301,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,4199.16,,4199.16,4199.16,
0151B,31301,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,5417.16,,5417.16,5417.16,
0151B,31301,12300,RESIDENCIA PERSONAL FUNCIONARIO,1387.2,,1387.2,1387.2,
0151B,31301,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,115113.24,-6674.8,108438.44,105493.82,
0151B,31301,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,118727.64,-3079.77,115647.87,117718.2,
0151B,31301,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,27712.8,,27712.8,28587.09,
0151B,31301,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,61728.0,-98.66,61629.34,61629.34,
0151B,31301,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",600.0,,600.0,,
0151B,31301,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,851.63,
0151B,31301,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,600.0,,600.0,2539.17,
0151B,31301,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,490.01,
0151B,31301,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,,673.3,
0151B,31301,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO,538.42,,538.42,4294.01,
0151B,31301,22501,TRIBUTOS DE LAS COMUNIDADES AUTÓNOMAS,,,,109.14,
0151B,31301,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,,12285.22,
0151B,31301,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,32576.93,-849.85,31727.08,1712.0,
0151B,31301,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,300.0,,300.0,,
0151C,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13308.6,-13308.6,,,
0151C,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8640.24,,8640.24,8640.24,
0151C,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,8092.08,-463.81,7628.27,3459.57,
0151C,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,9358.32,-5723.36,3634.96,3634.96,
0151C,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,15265.2,-9988.8,5276.4,5276.4,
0151C,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,19702.68,-13730.04,5972.64,5972.64,
0151C,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,3445.68,,3445.68,1387.2,
0151C,92000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,,,,6227.18,
0151C,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,150.0,,150.0,743.15,
0151C,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",31810.1,25406.0,57216.1,49588.72,
0151C,92000,22699,OTROS GASTOS DIVERSOS,250.0,,250.0,,
0151C,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,,,,7.5,
0152A,91200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,,,,8532.82,
0152A,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13308.6,,13308.6,13308.6,
0152A,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,23015.52,,23015.52,22782.81,
0152A,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8640.24,,8640.24,4594.19,
